Title,Author,Recommended,Language,Comments
Daughter of the Empire / Dochter van het Keizerrijk, Raymond E. Feist and Janny Wurts,Yes,Dutch,"I read this a long time ago and only recently found the name of the book. I recall liking the samurai and fuedal Japan style fantasy book. Honor plays a big rule in the society for example. It has some unique elements like the swords that break quickly and the portal to a different world that changes things from time to time. Still I also distinctly recall not liking the amount of luck the protaganist has, especially  when it came to finding the best spy master in the world basically for free. I never like an over reliance on luck in stories and this book has it in spades. All in all a decent read. "
"Maiwa's Revenge, The War of the Little Hand",H. Rider Haggard,Absolutely!,English,Short fun story
Meno,Plato,Yes,English,
Apology of Socrates,Plato,Yes,English,
Pheado,Plato,Yes,English,
In the Service of Samurai,Gloria Oliver,Maybe,English,More tailered towards a younger audience. It has some good bits but I read this as an adult after having read many other fantasy novels. This book was a bit too mediocre to really make a lasting impression. 
Koran,Alah,No,English,Death to the unbeliever and praise Alah! That's the general summary
The Art of War,Sun Tzu,Yes,English,"Interesting with some good advice for generals or managers alike and great for it's time. That said, It's not this bible of war as some call it. It lacks too much"
The Corsican Brothers,Alexandre Dumas,Absolutely!,English,This one is between a Yes and a Absolutely! for me. Because it's so short and powerful I have chosen the latter option
The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,Absolutely!,English,Questioning good and evil in a creative way
Dracula,Bram Stoker,Maybe,English,"Perhaps because I usually find horry stories boring perhaps because it was one of the first in the genre, but either way Dracula is not that compelling to me"
Fahrenheit 451,Sanwal CBC,Yes,English,
Of Mice And Men,John Steinbeck,Absolutely!,English,Incredibly interesting story and interesting dillema
The Black Tulip,Alexandre Dumas,Absolutely!,English,"Unique story, well written"
Robin Hood,J. Walker McSpadden,Yes,English,
The Prince,Niccolo Machiavelli,Maybe,English,
The Blue Lagoon,H. De Vere Stacpoole,Yes,English,
Tales of Old Japan,Lord Redesdale,Yes,English,
Nineteen Eighty-Four 1984,George Orwell,Yes,English,
Burmese Days,George Orwell,Absolutely!,English,"Setting, characters, story and ending are all fascinating"
Down and Out in Paris and London,George Orwell,Yes,English,
A Clergyman's Daughter,George Orwell,Yes,English,
Keep the Aspidistra Flying,George Orwell,Yes,English,
The Road to Wigan Pier,George Orwell,Yes,English,
Homage to Catalonia,George Orwell,Yes,English,
Coming Up for Air,George Orwell,Maybe,English,"Orwell's weakest book in my opinion. It has an interesting theme of nostalgia but for me it never really clicked. The main character should just do what he wants to do, fishing. But yet he never does it because of what others might think. Frustrating. "
Animal Farm,George Orwell,Absolutely!,English Chinese,"Funny, important and two stories in one. Certainly one of the best books ever written"
Taiko: An Epic Novel of War and Glory in Feudal Japan.,Eiji Yoshikawa,Absolutely!,Dutch,Humongus book full of interesting information about historical Japanese society.
Musashi,Eiji Yoshikawa,Absolutely!,Dutch,
Lord of the Rings: The Fellowship of the Ring,J.R.R. Tolkien,Absolutely!,Dutch,
Lord of the Rings: The Two Towers,J.R.R. Tolkien,Absolutely!,Dutch,
Lord of the Rings: The Return of the King,J.R.R. Tolkien,Absolutely!,Dutch,
The Hobbit,J.R.R. Tolkien,Absolutely!,Dutch,
Harry Potter and the Philosopher's Stone,J.K. Rowling,Yes,Dutch Chinese German,
Harry Potter and the Chamber of Secrets,J.K. Rowling,Yes,Dutch Chinese,
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,Yes,Dutch Chinese,
Harry Potter and the Goblet of Fire,J.K. Rowling,Yes,Dutch,
Harry Potter and the Order of the Phoenix,J.K. Rowling,Yes,Dutch,
Harry Potter and the Half-Blood Prince,J.K. Rowling,Yes,Dutch,
Harry Potter and the Deathly Hallows,J.K. Rowling,Yes,Dutch,
Oorlogswinter,Jan Terlou,Absolutely!,Dutch,
Samurai,Shusaku Endo,No,Dutch,
Shogun,James Clavell,Absolutely!,English,
